,Date,Temperature,DewPoint,Humidity,Sea Level PressureIn,VisibilityMiles,WindSpeedMPH,Event
0,1/1/2016,38.0,23.0,52.0,30.03,10.0,8.0,Rain
1,1/2/2016,36.0,18.0,46.0,30.02,10.0,7.0,Sunny
2,1/3/2016,36.5,22.9,47.0,29.86,10.0,8.0,Snow
3,1/6/2016,33.0,22.9,35.0,30.4,10.0,4.0,Rain
4,1/7/2016,39.0,11.0,33.0,30.28,10.0,2.0,Cloudy
5,1/8/2016,39.0,29.0,50.8,30.2,10.0,4.0,Sunny
6,1/9/2016,44.0,38.0,77.0,30.16,9.09,8.0,
7,1/10/2016,36.5,46.0,50.8,30.4,4.0,6.54,Snow
8,1/11/2016,33.0,8.0,37.0,29.92,10.0,6.54,
9,1/12/2016,35.0,22.9,53.0,29.85,10.0,6.0,
10,1/13/2016,26.0,4.0,50.8,29.94,10.0,10.0,Rain
11,1/14/2016,36.5,12.0,47.0,30.4,9.09,6.54,Rain
12,1/17/2016,36.0,23.0,66.0,29.78,8.0,6.0,Snow
13,1/18/2016,25.0,6.0,53.0,29.83,9.0,6.54,Sunny
